epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5995,1.48064,2.32608,1.45425,0.55405,0.59401,0.61246,0.35544,1.42988,2.06233,1.5003,0.000554362,0.000554362,0.000554362
2,187.02,1.46103,1.72012,1.45519,0.56938,0.62024,0.62221,0.36582,1.4109,1.6992,1.45459,0.00108805,0.00108805,0.00108805
3,274.371,1.43427,1.50441,1.42815,0.60266,0.71715,0.72958,0.43377,1.3618,1.40785,1.41334,0.00159973,0.00159973,0.00159973
4,361.582,1.37168,1.37601,1.39419,0.76471,0.7209,0.77188,0.49202,1.30069,1.21951,1.39166,0.00156798,0.00156798,0.00156798
5,459.395,1.32549,1.25316,1.36285,0.75708,0.73533,0.794,0.50381,1.25109,1.2394,1.37554,0.00153497,0.00153497,0.00153497
6,555.94,1.25057,1.13154,1.31412,0.82839,0.81477,0.86748,0.59292,1.15655,0.92785,1.25224,0.00150197,0.00150197,0.00150197
7,653.211,1.21793,1.06876,1.28769,0.77668,0.83002,0.84778,0.59005,1.09828,0.93065,1.23192,0.00146896,0.00146896,0.00146896
8,749.767,1.16823,0.99538,1.26154,0.84296,0.86148,0.88255,0.63472,1.05976,0.79682,1.1947,0.00143595,0.00143595,0.00143595
